Canada;Acacia;Lost;44°35' 65°45' W
Canada;Avon River;Lost;45°7' 64°13' W
Canada;Barrington;Lost;43°34' 65°35' W
Canada;Bear;Lost;44°37' 65°41' W
Canada;Big;Lost;48°32' 53°58' W
Canada;Big Salmon;Lost;44°42' 63°23' W
Canada;Blind Bay;Lost;44°31' 63°50' W
Canada;Bocabec River;Lost;45°10' 66°59' W
Canada;Broad;Lost;43°57' 64°49' W
Canada;Chamcook;Lost;45°8' 67°4' W
Canada;Chezzetcook;Lost;44°44' 63°14' W
Canada;Clam Harbour;Lost;45°25' 61°25' W
Canada;Clam Harbour;Lost;45°25' 61°25' W
Canada;Clyde;Lost;43°35' 65°27' W
Canada;Cole Harbour;Lost;45°16' 61°16' W
Canada;Cornwallis;Lost;45°6' 64°21' W
Canada;Cow Bay;Lost;44°37' 63°26' W
Canada;East;Lost;43°45' 65°9' W
Canada;East;Lost;44°41' 63°52' W
Canada;East Porters Lake;Lost;44°48' 63°23' W
Canada;Grosses Coques;Lost;44°23' 66°4' W
Canada;Harbour Grace;Lost;47°42' 53°13' W
Canada;Heart's Delight;Lost;47°46' 53°28' W
Canada;Herring Cove;Lost;44°30' 64°42' W
Canada;Indian;Lost;44°41' 63°55' W
Canada;Ingram;Lost;44°40' 63°58' W
Canada;Isaac's Harbour;Lost;45°12' 61°40' W
Canada;Jordan;Lost;43°46' 65°14' W
Canada;Kearney Lake;Lost;44°43' 63°40' W
Canada;Ketch Harbour;Lost;44°29' 63°33' W
Canada;Larry's;Lost;45°13' 61°22' W
Canada;Lepreau;Lost;45°10' 66°28' W
Canada;Lequille (aka, Allain);Lost;44°44' 65°31' W
Canada;Little Salmon;Lost;44°41' 63°27' W
Canada;McAskill;Lost;46°11' 59°58' W
Canada;Middle;Lost;48°21' 54°10' W
Canada;Middle;Lost;44°34' 64°17' W
Canada;Midgell;Lost;46°25' 62°38' W
Canada;Milford Haven;Lost;45°27' 61°37' W
Canada;Mispec;Lost;45°13' 65°57' W
Canada;Musquash;Lost;45°11' 66°15' W
Canada;New Harbour;Lost;44°11' 61°28' W
Canada;Nine Mile;Lost;44°32' 63°47' W
Canada;Northeast;Lost;44°41' 63°54' W
Canada;Northwest;Lost;51°23' 55°35' W
Canada;Otter;Lost;45°19' 61°10' W
Canada;Pennant;Lost;44°28' 63°38' W
Canada;Prospect;Lost;44°31' 63°46' W
Canada;Rattling;Lost;49°4' 55°19' W
Canada;Roseway;Lost;43°46' 65°20' W
Canada;Sable;Lost;43°45' 65°0' W
Canada;Saint Francis;Lost;45°27' 61°19' W
Canada;Salmon;Lost;44°48' 63°5' W
Canada;Sissiboo;Lost;44°26' 66°1' W
Canada;Smith;Lost;44°58' 62°13' W
Canada;St Croix;Lost;45°0' 64°8' W
Canada;Tangler;Lost;44°48' 63°42' W
Canada;Terence Bay;Lost;44°20' 63°43' W
Canada;TestRvr1;Lost;1°20' 12°11' W
Canada;TestRvr2;Lost;10°10' 10°10' W
Canada;TestRvr3;Lost;100°10' 100°10' W
Canada;TestRvr4;Lost;12°0' 12°0' W
Canada;TestRvr6;Lost;100°20' 99°59' E
Canada;Vaughan;Lost;44°31' 64°19' W
Canada;West Porters Lake;Lost;44°49' 63°23'
Canada;Woodens;Lost;44°36' 63°55' W
Canada;Aroostook;Maintained;45°58' 66°50' W
Canada;Dunk;Maintained;46°22' 63°46' W
Canada;East;Maintained;44°35' 64°10' W
Canada;East;Maintained;44°55' 62°31' W
Canada;Mersey;Maintained;44°2' 64°43' W
Canada;Montague;Maintained;46°11' 62°33' W
Canada;Moose;Maintained;44°40' 65°37' W
Canada;Sackville;Maintained;44°44' 63°40' W
Canada;St. Croix;Maintained;67°9' 45°9' W
Canada;Tusket;Maintained;43°41' 65°57' W
Canada;Valleyfield;Maintained;46°10' 62°39' W
Canada;A La Baleine;Not Threatened With Loss;58°15' 67°35' W
Canada;A La Loutre;Not Threatened With Loss;49°37' 63°48' W
Canada;A La Patate;Not Threatened With Loss;49°42' 62°55' W
Canada;A L'Huile;Not Threatened With Loss;49°50' 63°33' W
Canada;Aboujagane;Not Threatened With Loss;46°13' 64°24' W
